Time,AE,EC,M,O
116.7968844,33874.92462,3.17e-06,0.07848108,0
117.2922,23039.0,3.17e-06,0.086609639,0
117.7958824,31381.17647,3.19e-06,0.083690054,0
118.29735,29081.0,3.16e-06,0.08075247,0
118.7960804,24388.54271,3.13e-06,0.088604286,0
119.2959901,33298.0198,3.15e-06,0.078270607,0
119.7962,22628.9,3.13e-06,0.088919759,0
120.2964179,33665.57214,3.08e-06,0.080332554,0
120.7949751,24904.22886,3.1e-06,0.084200204,0
121.2973267,25146.08911,3.11e-06,0.08628349,0
121.7962312,34902.56281,3.08e-06,0.07867712,0
122.2947264,21784.22886,3.05e-06,0.089747048,0
122.7955224,34943.03483,3.09e-06,0.079572918,0
123.2961386,22906.43564,3.04e-06,0.086593761,0
123.7962814,31046.33166,3.05e-06,0.083694012,0
124.290402,29485.72864,3.05e-06,0.081330447,0
124.7939303,23658.90547,3.05e-06,0.088748786,0
125.2953,33685.75,2.98e-06,0.077513133,0
125.7949246,22337.28643,3.02e-06,0.089598293,0
126.2958416,33645.79208,2.99e-06,0.080318084,0
126.7964179,25537.41294,3e-06,0.083203381,0
127.29695,24994.45,2.99e-06,0.086432952,0
127.7943,35208.7,2.99e-06,0.078942108,0
128.29585,22099.7,2.97e-06,0.089595723,0
128.7957214,34171.54229,2.93e-06,0.078264641,0
129.2948756,22641.09453,2.94e-06,0.086822034,0
129.7963131,30753.23232,2.91e-06,0.0826046,0
130.2961692,29291.59204,2.91e-06,0.080281364,0
130.7949495,23610.25253,2.9e-06,0.088354935,0
131.2907,34118.1,2.91e-06,0.078349699,0
131.7944554,22062.57426,2.9e-06,0.088423416,0
132.298408,33917.46269,2.86e-06,0.080331595,0
132.7945455,25651.31313,2.88e-06,0.084151454,0
133.295297,24866.78218,2.85e-06,0.086335202,0
133.7960199,35387.8607,2.85e-06,0.078247557,0
134.2964677,21415.22388,2.84e-06,0.090035365,0
134.79545,34623.65,2.83e-06,0.078443554,0
135.2952736,22630.64677,2.85e-06,0.086437631,0
135.7972637,31498.70647,2.82e-06,0.084103578,0
136.29545,29342.45,2.81e-06,0.080242169,0
136.7947,23540.15,2.82e-06,0.088972289,0
137.2936,33968.0,2.8e-06,0.077012831,0
137.795495,22699.10891,2.79e-06,0.088925206,0
138.29755,34167.6,2.76e-06,0.08040494,0
138.7964,25412.5,2.81e-06,0.08368506,0
139.2977114,24652.53731,2.77e-06,0.087041599,0
139.7955276,35526.43216,2.77e-06,0.078356239,0
140.2950249,21161.04478,2.77e-06,0.089449799,0
140.7975743,34010.14851,2.75e-06,0.078856794,0
141.2964286,22450.81633,2.77e-06,0.086841345,0
141.7942786,30827.8607,2.73e-06,0.083564766,0
142.2922,29560.15,2.75e-06,0.080349759,0
142.7970149,22997.61194,2.73e-06,0.089344422,0
143.29605,34224.7,2.72e-06,0.077535904,0
143.7956,21947.05,2.71e-06,0.08855,0
144.2972772,33751.68317,2.73e-06,0.081235178,0
144.7963,25825.2,2.7e-06,0.083214277,0
145.295303,24828.08081,2.68e-06,0.085560363,0
145.7943564,35120.59406,2.72e-06,0.078907372,0
146.2963184,22891.99005,2.67e-06,0.089389139,0
146.7973,33443.65,2.66e-06,0.077691626,0
147.2964179,23332.38806,2.7e-06,0.086978421,0
147.79865,31362.45,2.68e-06,0.083777952,0
148.29625,29516.75,2.66e-06,0.080197169,0
148.7924242,23582.72727,2.65e-06,0.089034623,0
149.294505,33623.76238,2.67e-06,0.078129011,0
149.7951759,21852.11055,2.68e-06,0.088868318,0
150.2942289,33991.69154,2.64e-06,0.080549781,0
150.7945545,25284.30693,2.65e-06,0.0837282,0
151.2959,24810.55,2.63e-06,0.08669759,0
151.7945226,34022.46231,2.64e-06,0.078288309,0
152.2936139,22636.33663,2.62e-06,0.089911309,0
152.7981773,33283.39901,2.63e-06,0.078162977,0
153.2988384,23358.78788,2.62e-06,0.086714555,0
153.7954,30761.25,2.6e-06,0.083658916,0
154.294604,29244.55446,2.61e-06,0.080655732,0
154.7969652,23708.20896,2.59e-06,0.088728286,0
155.2972637,34034.57711,2.58e-06,0.077258047,0
155.7928788,21897.57576,2.59e-06,0.088900268,0
156.2938725,33782.40196,2.59e-06,0.081016123,0
156.79565,26064.9,2.56e-06,0.083147169,0
157.293641,25532.30769,2.6e-06,0.088162249,0
157.7949749,34178.39196,2.54e-06,0.077355755,0
158.294604,23379.35644,2.57e-06,0.089474293,0
158.7951,32861.65,2.54e-06,0.078366145,0
159.2943,23623.5,2.55e-06,0.086869759,0
159.7986139,31230.89109,2.55e-06,0.083510855,0
160.2967337,29070.85427,2.54e-06,0.080244112,0
160.7954726,24027.26368,2.53e-06,0.089374753,0
161.2973134,33015.27363,2.53e-06,0.077429719,0
161.7958586,22191.31313,2.52e-06,0.088144396,0
162.2977228,32676.38614,2.51e-06,0.080917333,0
162.7915816,25797.90816,2.5e-06,0.083312638,0
163.2940887,25643.15271,2.51e-06,0.086398006,0
163.7969802,33576.53465,2.5e-06,0.078435823,0
164.2961616,22366.11111,2.49e-06,0.08971206,0
164.7962312,33387.73869,2.49e-06,0.078470001,0
165.2943284,24221.24378,2.5e-06,0.08607091,0
165.7956219,30278.40796,2.48e-06,0.084222742,0
166.2949751,30008.30846,2.46e-06,0.079798777,0
166.7970297,24712.82178,2.48e-06,0.088741262,0
167.2980905,33831.70854,2.48e-06,0.078276987,0
167.793401,22020.96447,2.44e-06,0.088539539,0
168.2947264,33186.91542,2.44e-06,0.07980645,0
168.7949,26484.9,2.46e-06,0.083214699,0
169.2942,24890.45,2.44e-06,0.08721994,0
169.7941,33534.6,2.42e-06,0.077765964,0
170.29435,22924.8,2.44e-06,0.089585542,0
170.7969802,32970.74257,2.43e-06,0.078726709,0
171.2954271,24362.91457,2.43e-06,0.086339408,0
171.7939801,29734.62687,2.42e-06,0.083641851,0
172.2953695,30214.82759,2.41e-06,0.08039765,0
172.7969347,24373.16583,2.41e-06,0.089006297,0
173.2943781,32887.41294,2.39e-06,0.076613739,0
173.795198,21987.67327,2.42e-06,0.088226888,0
174.2959799,33317.98995,2.4e-06,0.08065254,0
174.7956219,26613.9801,2.39e-06,0.082598214,0
175.2964179,24974.0796,2.39e-06,0.086528202,0
175.7960697,33582.63682,2.4e-06,0.078715399,0
176.2951,23584.65,2.37e-06,0.089397169,0
176.7921608,32953.11558,2.36e-06,0.078363686,0
177.2924752,24395.69307,2.39e-06,0.086594,0
177.7944949,30118.38384,2.37e-06,0.084033346,0
178.2944279,30273.78109,2.34e-06,0.079721933,0
178.7961809,24438.94472,2.38e-06,0.089755706,0
179.2966832,33547.57426,2.34e-06,0.077166647,0
179.7954271,22293.21608,2.35e-06,0.088622692,0
180.2939303,33049.20398,2.34e-06,0.081369298,0
180.7946535,26561.63366,2.34e-06,0.082666706,0
181.2970647,24643.38308,2.32e-06,0.086484925,0
181.79515,33898.7,2.32e-06,0.077740723,0
182.29355,23225.4,2.35e-06,0.090228916,0
182.7964356,33393.31683,2.32e-06,0.078156269,0
183.29575,23679.35,2.31e-06,0.085933795,0
183.7956219,29745.07463,2.31e-06,0.084280405,0
184.2970936,30100.64039,2.31e-06,0.079577423,0
184.7969192,24454.34343,2.31e-06,0.089233479,0
185.2947,32570.15,2.3e-06,0.077231205,0
185.79425,22459.9,2.31e-06,0.088348855,0
186.2949751,32505.77114,2.3e-06,0.080720554,0
186.7941294,26494.32836,2.28e-06,0.082529041,0
187.2938191,24690.50251,2.3e-06,0.087684567,0
187.7942079,33627.12871,2.27e-06,0.077496899,0
188.2953266,23310.20101,2.28e-06,0.089554096,0
188.7928,32741.35,2.28e-06,0.079112651,0
189.2939604,24545.44554,2.26e-06,0.085545807,0
189.79545,30040.45,2.26e-06,0.083708795,0
190.2945545,30305.89109,2.27e-06,0.080247704,0
190.7942211,24217.23618,2.26e-06,0.089047406,0
191.2948768,32734.77833,2.25e-06,0.077036976,0
191.7959,22498.35,2.24e-06,0.088180783,0
192.2962687,32585.12438,2.25e-06,0.08127513,0
192.7970149,26581.29353,2.23e-06,0.081890487,0
193.2962814,25075.47739,2.25e-06,0.087051583,0
193.794703,33712.9703,2.23e-06,0.078069068,0
194.29515,22806.85,2.23e-06,0.089348494,0
194.7938693,33475.42714,2.26e-06,0.07892202,0
195.2938806,23201.99005,2.22e-06,0.086204999,0
195.79635,30552.9,2.21e-06,0.083737771,0
196.29425,29577.6,2.21e-06,0.079632108,0
196.79625,24110.45,2.23e-06,0.089690602,0
197.29665,31973.7,2.19e-06,0.076500904,0
197.7946,23278.75,2.2e-06,0.088109277,0
198.2957426,32585.74257,2.21e-06,0.080686687,0
198.7972772,26700.0495,2.2e-06,0.083085888,0
199.2961111,24011.9697,2.21e-06,0.087167093,0
199.7932673,34705.09901,2.19e-06,0.077536025,0
200.2956931,22330.64356,2.2e-06,0.089793332,0
200.79665,33964.1,2.19e-06,0.078332349,0
201.2933668,23865.27638,2.17e-06,0.085791488,0
201.7946535,30687.22772,2.2e-06,0.084546105,0
202.2949254,29230.89552,2.17e-06,0.079433255,0
